,-0.09460407885996294,128061
"M@[,ADXR40]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-0.9925962728267386,2
"M@[,ADXR40]P@[,ENGULFING,LONGLINE]",0.9028912611414649,3
"M@[,ADXR40]P@[,ENGULFING,SHORTLINE]",-0.5027558849034326,5
"M@[,ADXR40]P@[,ENGULFING,SPINNINGTOP]",0.867381876283943,1
"M@[,ADXR40]P@[,ENGULFING]",0.624894761436797,4
"M@[,ADXR40]P@[,EVENINGSTAR]",0.5929648241206007,1
"M@[,ADXR40]P@[,HANGINGMAN,ENGULFING,SHORTLINE]",-2.8822055137844576,1
"M@[,ADXR40]P@[,HANGINGMAN,HIKKAKE]",-0.3840970350404343,1
"M@[,ADXR40]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-1.269531250000011,1
"M@[,ADXR40]P@[,HARAMI]",-0.6435372619973891,6
"M@[,ADXR40]P@[,HIKKAKE,LONGLINE]",0.602018745493865,1
"M@[,ADXR40]P@[,HIKKAKE,SHORTLINE]",-1.9116535262987293,1
"M@[,ADXR40]P@[,HIKKAKE,SHORTLINE]O@[,CROSSOVER50]",-0.5353319057815846,1
"M@[,ADXR40]P@[,HIKKAKE]",0.7254251084204423,3
"M@[,ADXR40]P@[,LONGLINE]",0.3465220183287959,11
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",1.9504583577140626,1
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-0.10102488986917724,4
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-2.566450139524458,2
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER50]",-0.7651715039577777,1
"M@[,ADXR40]P@[,SHOOTINGSTAR]",-0.6338028169014038,1
"M@[,ADXR40]P@[,SHORTLINE]",-0.7046550566323753,31
"M@[,ADXR40]P@[,SHORTLINE]O@[,CROSSOVER50]",-0.01002135825648176,2
"M@[,ADXR40]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-5.778781038374723,1
"M@[,ADXR40]P@[,SPINNINGTOP,3OUTSIDE]",2.8271918678525974,1
"M@[,ADXR40]P@[,SPINNINGTOP,HIGHWAVE]",-1.9333690125769243,1
"M@[,ADXR40]P@[,SPINNINGTOP,HIKKAKE]",-0.7714778961337698,2
"M@[,ADXR40]P@[,SPINNINGTOP,SHORTLINE]",-2.220796912980377,2
"M@[,ADXR40]P@[,SPINNINGTOP]",-0.8352641189577437,18
"M@[,APO,AROON,CROSSOVER-MACD]",1.5108896955232307,3
"M@[,APO,AROON,CROSSOVER-MACD]O@[,CROSSOVER21]",-2.1823932525039584,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,3OUTSIDE]",-1.2865497076023324,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-0.4184100418410144,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING]",-1.937371888947668,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",1.0169491525423764,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,BELTHOLD]",-4.372542163527065,4
"M@[,APO,AROON,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU,LONGLINE]",-2.7910685805422646,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,LONGLINE]",-0.2060911380810573,1
"M@[,APO,AROON,CROSSOVER-MACD]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-6.39175257731959,1
"M@[,APO,AROON]",-0.1372818062853279,49
"M@[,APO,AROON]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-2.5617140195621797,1
"M@[,APO,AROON]P@[,BELTHOLD,3OUTSIDE]",2.272727272727273,1
"M@[,APO,AROON]P@[,BELTHOLD,ENGULFING,LONGLINE,SEPARATINGLINES]",1.5630630630630546,1
"M@[,APO,AROON]P@[,BELTHOLD,ENGULFING,LONGLINE]",-0.6715689453989243,2
"M@[,APO,AROON]P@[,BELTHOLD,ENGULFING]",0.6745562130177568,1
"M@[,APO,AROON]P@[,BELTHOLD,HIKKAKE,LONGLINE]",1.6402916073968747,1
"M@[,APO,AROON]P@[,BELTHOLD,LONGLINE]",-0.015200180541984624,9
"M@[,APO,AROON]P@[,BELTHOLD]",-0.05600497939936903,9
"M@[,APO,AROON]P@[,CLOSINGMARUBOZU,LONGLINE]",0.5965532479010138,1
"M@[,APO,AROON]P@[,ENGULFING,LONGLINE]",0.3076923076923121,1
"M@[,APO,AROON]P@[,ENGULFING,SPINNINGTOP]",-0.7445167348581485,1
"M@[,APO,AROON]P@[,ENGULFING]",0.06627065417826354,3
"M@[,APO,AROON]P@[,LONGLINE]",1.3223209351776093,12
"M@[,APO,AROON]P@[,LONGLINE]O@[,CROSSOVER21]",-2.012750455373398,1
"M@[,APO,AROON]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",0.14008021031220966,1
"M@[,APO,AROON]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",0.08305647840531089,1
"M@[,APO,AROON]P@[,SHORTLINE]",0.5566578578509701,4
"M@[,APO,AROON]P@[,SHORTLINE]O@[,CROSSOVER21]",-2.3926380368098195,1
"M@[,APO,AROON]P@[,SPINNINGTOP,HIGHWAVE]",-0.6619155464994759,3
"M@[,APO,AROON]P@[,SPINNINGTOP]",-1.3902705875573813,4
"M@[,APO,CROSSOVER-MACD]",-0.42388747719408615,47
"M@[,APO,CROSSOVER-MACD]P@[,3OUTSIDE,LONGLINE]",-0.3578495183545961,2
"M@[,APO,CROSSOVER-MACD]P@[,3OUTSIDE]",0.2708375071939499,2
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-2.198594612330063,2
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-0.9418534221683801,1
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,DARKCLOUDCOVER,LONGLINE]",-0.23282887077997672,1
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING,LONGLINE]",-1.6544444444444466,2
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING]",0.3700370037003746,1
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR]",0.4547630445189031,1
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]",-0.03376709278622817,10
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD]",-0.2443878517194049,3
"M@[,APO,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.30768780566457404,2
