sellIndia,avg,count
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,2CROWS,LONGLINE]",-0.4869316147511636,1
"M@[,APO,AROON]P@[,BELTHOLD,LONGLINE]",-0.4861390461266886,5
"M@[,APO,CROSSOVER-MACD]P@[,3OUTSIDE,LONGLINE]",-0.47639670853182947,1
"P@[,HANGINGMAN]O@[,CROSSOVER50]",-0.4709277003484246,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]V@[,AD:OBV]",-0.4658135674894279,1
"P@[,COUNTERATTACK]",-0.46580582553306626,9
"P@[,CLOSINGMARUBOZU]V@[,AD:OBV]",-0.4546422101736399,2
"M@[,ADXR40]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.4542097488921781,1
"M@[,APO,AROON]P@[,SHORTLINE]",-0.4484637698925442,2
"P@[,3BLACKCROWS,SHORTLINE]",-0.4478425970535809,3
"P@[,LONGLINE]O@[,CROSSOVER50]",-0.4453659366091156,9
"M@[,ADXR20,RSI]P@[,BELTHOLD]",-0.44041782902080395,2
"P@[,SPINNINGTOP,3INSIDE,HIGHWAVE]",-0.4400229577195462,1
"M@[,ADXR40]P@[,SPINNINGTOP]",-0.43680535617499894,7
"P@[,SPINNINGTOP,SHORTLINE]O@[,CROSSOVER21]",-0.4361051253739964,6
"M@[,CROSSOVER-MACD]P@[,ENGULFING,SHORTLINE]",-0.43533612771166186,27
"P@[,BELTHOLD,HIKKAKE]",-0.4343869116007705,2
"P@[,DARKCLOUDCOVER,LONGLINE]V@[,AD:OBV]",-0.4340164432727989,2
"M@[,RSI]P@[,3INSIDE,LONGLINE]",-0.4310847474899453,2
"M@[,AROON]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-0.4288080500935523,2
"M@[,AROON]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.42364466609966833,16
"M@[,APO]P@[,2CROWS,SHORTLINE]",-0.4210787525522813,3
"P@[,CLOSINGMARUBOZU,IDENTICAL3CROWS]",-0.4196255648805718,1
"P@[,SHOOTINGSTAR]",-0.4106342901064475,333
"M@[,ADXR20]P@[,HARAMI,SHORTLINE]",-0.4094352695922261,3
"M@[,ADXR20]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-0.40764103057103485,5
"P@[,3OUTSIDE,ONNECK]",-0.40530582166542595,1
"M@[,ADXR20,APO]P@[,SHORTLINE]",-0.4002911208151465,1
"M@[,RSI]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-0.3965260110536076,1
"P@[,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-0.3937881395693282,3
"M@[,APO,AROON]P@[,BELTHOLD,ENGULFING,LONGLINE,SEPARATINGLINES]",-0.393179006891681,1
"M@[,APO,AROON]P@[,ENGULFING,SPINNINGTOP]",-0.390414647280557,1
"M@[,AROON]P@[,HIKKAKE,SHORTLINE]",-0.38390827262005933,3
"P@[,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER21]",-0.3807709188794181,8
"P@[,RISEFALL3METHODS]",-0.37501020042360267,2
"P@[,BELTHOLD,EVENINGSTAR,LONGLINE]O@[,CROSSOVER21]",-0.369783412572645,1
"P@[,ENGULFING,EVENINGSTAR,LONGLINE]",-0.36188350265463015,12
"M@[,ADXR20]P@[,HARAMI]",-0.35523076501873174,7
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR]",-0.35434995112414186,1
"P@[,ENGULFING,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-0.35385699385000285,2
"P@[,COUNTERATTACK,LONGLINE]O@[,CROSSOVER21]",-0.35310225553074087,1
"P@[,ENGULFING,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-0.3504173190874984,17
"M@[,RSI]P@[,SPINNINGTOP]",-0.34883992063816577,12
"M@[,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU]O@[,CROSSOVER21]",-0.3412969283276395,1
"M@[,CROSSOVER-MACD]P@[,SHORTLINE]O@[,CROSSOVER21]",-0.33791409706863307,2
"M@[,AROON]P@[,SPINNINGTOP,SHORTLINE]O@[,CROSSOVER21]",-0.3339694656488405,1
"M@[,CROSSOVER-MACD]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]",-0.3314550878355983,1
"M@[,RSI]P@[,SHORTLINE]",-0.3280352123866811,40
"M@[,RSI]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.32571662539946805,5
"M@[,RSI]P@[,HARAMI]",-0.32505490348666183,15
"P@[,SPINNINGTOP,HIKKAKE,SHORTLINE]",-0.3241556344719506,20
"M@[,ADXR20]P@[,SPINNINGTOP]",-0.3192415085778299,13
"P@[,BELTHOLD,ENGULFING,EVENINGSTAR,EVENINGDOJISTAR]",-0.3124617625180257,4
"P@[,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-0.3115284615173245,5
"P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-0.3105081873001472,20
"P@[,COUNTERATTACK,LONGLINE]",-0.3053320884668051,6
"P@[,BELTHOLD,2CROWS,LONGLINE]",-0.301518008529173,5
"P@[,BELTHOLD]O@[,CROSSOVER50]",-0.3001268511453484,8
"P@[,SHORTLINE]O@[,CROSSOVER21]",-0.2973427367662929,32
"M@[,ADXR40]P@[,3OUTSIDE]",-0.29150016438654386,2
"P@[,ADVANCEBLOCK]",-0.290842635022464,8
